-0.3948	0.1024	0.6018	1.0942	1.59	2.085	2.5818	3.0762	3.5714	4.0656
-4.1426	-4.1772	-4.175	-4.175	-4.175	-4.1752	-4.1752	-4.1756	-4.1764	-4.178
-0.3062	0.2008	0.703	1.1988	1.6966	2.192	2.6898	3.1866	3.68	4.1762
-3.693	-3.6926	-3.6906	-3.688	-3.688	-3.6868	-3.6872	-3.6862	-3.6856	-3.684
-0.2006	0.3048	0.809	1.3042	1.8036	2.298	2.795	3.291	3.7884	4.2846
-3.202	-3.1998	-3.1988	-3.198	-3.199	-3.1982	-3.1994	-3.2016	-3.202	-3.202
-0.0942	0.4096	0.912	1.407	1.908	2.4038	2.9	3.3984	3.896	4.393
-2.7202	-2.7192	-2.7194	-2.719	-2.719	-2.7188	-2.7192	-2.719	-2.719	-2.719
0.0086	0.5128	1.0176	1.5102	2.013	2.5072	3.006	3.503	4.001	4.499
-2.2406	-2.2382	-2.2372	-2.2378	-2.2378	-2.237	-2.2372	-2.2384	-2.2378	-2.238
0.1102	0.615	1.112	1.613	2.1188	2.6122	3.11	3.608	4.1068	4.605
-1.7584	-1.7566	-1.7564	-1.7562	-1.7554	-1.7556	-1.756	-1.757	-1.7566	-1.757
0.2136	0.7182	1.217	1.716	2.222	2.718	3.214	3.7134	4.211	4.7084
-1.2798	-1.279	-1.278	-1.2778	-1.2782	-1.2784	-1.2788	-1.2788	-1.2784	-1.279
0.314	0.8148	1.318	1.816	2.3238	2.8192	3.315	3.815	4.3128	4.8118
-0.8092	-0.8104	-0.808	-0.8088	-0.808	-0.8086	-0.8084	-0.809	-0.808	-0.8082
0.413	0.9132	1.4166	1.915	2.4236	2.9202	3.4164	3.917	4.4152	4.9138
-0.3436	-0.3434	-0.3432	-0.3424	-0.3422	-0.343	-0.343	-0.342	-0.342	-0.3412
